Timestep,Actor_Type,Actor_ID,Relative_X,Relative_Y
1,Pedestrian,236,177.70700454711914,-45.969627380371094
2,Pedestrian,236,176.32621383666992,-45.897071838378906
3,Pedestrian,236,174.4827003479004,-45.76170349121094
4,Pedestrian,236,172.54119873046875,-45.36507606506348
5,Pedestrian,236,170.41711807250977,-44.74491310119629
6,Pedestrian,236,168.4015350341797,-43.458648681640625
7,Pedestrian,236,167.08748626708984,-40.229095458984375
8,Pedestrian,236,165.35943222045898,-37.65085029602051
9,Pedestrian,236,163.4029655456543,-35.32630920410156
10,Pedestrian,236,161.54253387451172,-32.61513423919678
11,Pedestrian,236,160.31711959838867,-29.310723304748535
12,Pedestrian,236,160.04663848876953,-25.607239723205566
13,Pedestrian,236,160.23154067993164,-22.345237731933594
14,Pedestrian,236,160.35406875610352,-18.287982940673828
15,Pedestrian,236,160.04984283447266,-14.760167598724365
16,Pedestrian,236,159.19497299194336,-11.206098079681396
17,Pedestrian,236,158.01636505126953,-7.429423809051514
18,Pedestrian,236,157.26647186279297,-3.9091986417770386
19,Pedestrian,236,157.1752815246582,-0.385306715965271
